date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:22	59161/59161	---M-Z	200	added ('OK')	text/html	etag:%223fc26e9-e719-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/blog-post.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/blog-post.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:23	70243/70243	---M-Z	200	added ('OK')	text/html	etag:%223fc26e8-11263-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/blog-list.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/blog-list.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:23	70843/70843	---M-Z	200	added ('OK')	text/html	etag:%223fc26e7-114bb-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/blog-grid.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/blog-grid.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:23	68830/68830	---M-Z	200	added ('OK')	text/html	etag:%223fc26e4-10cde-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/blog-details.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/blog-details.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:23	78783/78783	---M-Z	200	added ('OK')	text/html	etag:%223fc26f5-133bf-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/file-dashboard.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/file-dashboard.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:24	82408/82408	---M-Z	200	added ('OK')	text/html	etag:%223fc26f6-141e8-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/file-documents.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/file-documents.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:24	67462/67462	---M-Z	200	added ('OK')	text/html	etag:%223fc26f8-10786-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/file-media.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/file-media.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:24	73169/73169	---M-Z	200	added ('OK')	text/html	etag:%223fc26f7-11dd1-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/file-images.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/file-images.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:25	64146/64146	---M-Z	200	added ('OK')	text/html	etag:%223fc26eb-fa92-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/chat.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/chat.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:25	125094/125094	---M-Z	200	added ('OK')	text/html	etag:%223fc271a-1e8a6-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/widgets-app.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/widgets-app.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
